Ward,Poll,Poll Name,Contest Title,Candidate Name,Total
1,1,1-1 Harvest Bible Chapel (formerly Southwood Community Church Centre),MAYOR,Drew DILKENS,312
1,1,1-1 Harvest Bible Chapel (formerly Southwood Community Church Centre),MAYOR,Ernie LAMONT,9
1,1,1-1 Harvest Bible Chapel (formerly Southwood Community Church Centre),MAYOR,Franz (Frank) DYCK,10
1,1,1-1 Harvest Bible Chapel (formerly Southwood Community Church Centre),MAYOR,Matt MARCHAND,159
1,1,1-1 Harvest Bible Chapel (formerly Southwood Community Church Centre),MAYOR,Tom HENSEL,7
1,2,1-2 Capri Pizzeria Recreational Complex (formerly South Windsor Arena),MAYOR,Drew DILKENS,458
1,2,1-2 Capri Pizzeria Recreational Complex (formerly South Windsor Arena),MAYOR,Ernie LAMONT,8
1,2,1-2 Capri Pizzeria Recreational Complex (formerly South Windsor Arena),MAYOR,Franz (Frank) DYCK,9
1,2,1-2 Capri Pizzeria Recreational Complex (formerly South Windsor Arena),MAYOR,Matt MARCHAND,205
1,2,1-2 Capri Pizzeria Recreational Complex (formerly South Windsor Arena),MAYOR,Tom HENSEL,2
1,3,1-3 Paulin Memorial Presbyterian Church,MAYOR,Drew DILKENS,574
1,3,1-3 Paulin Memorial Presbyterian Church,MAYOR,Ernie LAMONT,20
1,3,1-3 Paulin Memorial Presbyterian Church,MAYOR,Franz (Frank) DYCK,9
1,3,1-3 Paulin Memorial Presbyterian Church,MAYOR,Matt MARCHAND,253
1,3,1-3 Paulin Memorial Presbyterian Church,MAYOR,Tom HENSEL,7
1,4,1-4 Gethsemane Lutheran Church,MAYOR,Drew DILKENS,493
1,4,1-4 Gethsemane Lutheran Church,MAYOR,Ernie LAMONT,8
1,4,1-4 Gethsemane Lutheran Church,MAYOR,Franz (Frank) DYCK,5
1,4,1-4 Gethsemane Lutheran Church,MAYOR,Matt MARCHAND,201
1,4,1-4 Gethsemane Lutheran Church,MAYOR,Tom HENSEL,3
1,5,1-5 Roseland Golf and Curling Club,MAYOR,Drew DILKENS,621
1,5,1-5 Roseland Golf and Curling Club,MAYOR,Ernie LAMONT,13
1,5,1-5 Roseland Golf and Curling Club,MAYOR,Franz (Frank) DYCK,8
1,5,1-5 Roseland Golf and Curling Club,MAYOR,Matt MARCHAND,254
1,5,1-5 Roseland Golf and Curling Club,MAYOR,Tom HENSEL,2
1,6,1-6 Academie Ste. Cecile International School,MAYOR,Drew DILKENS,459
1,6,1-6 Academie Ste. Cecile International School,MAYOR,Ernie LAMONT,8
1,6,1-6 Academie Ste. Cecile International School,MAYOR,Franz (Frank) DYCK,7
1,6,1-6 Academie Ste. Cecile International School,MAYOR,Matt MARCHAND,213
1,6,1-6 Academie Ste. Cecile International School,MAYOR,Tom HENSEL,1
1,7,1-7 St. Vladimir & Olga Ukrainian Catholic Church,MAYOR,Drew DILKENS,627
1,7,1-7 St. Vladimir & Olga Ukrainian Catholic Church,MAYOR,Ernie LAMONT,8
1,7,1-7 St. Vladimir & Olga Ukrainian Catholic Church,MAYOR,Franz (Frank) DYCK,12
1,7,1-7 St. Vladimir & Olga Ukrainian Catholic Church,MAYOR,Matt MARCHAND,178
1,7,1-7 St. Vladimir & Olga Ukrainian Catholic Church,MAYOR,Tom HENSEL,17
1,8,1-8 Extendicare Southwood Lakes Long Term Care Centre,MAYOR,Drew DILKENS,310
1,8,1-8 Extendicare Southwood Lakes Long Term Care Centre,MAYOR,Ernie LAMONT,8
1,8,1-8 Extendicare Southwood Lakes Long Term Care Centre,MAYOR,Franz (Frank) DYCK,12
1,8,1-8 Extendicare Southwood Lakes Long Term Care Centre,MAYOR,Matt MARCHAND,124
1,8,1-8 Extendicare Southwood Lakes Long Term Care Centre,MAYOR,Tom HENSEL,7
1,9,1-9 Kensington Court Retirement Residence,MAYOR,Drew DILKENS,56
1,9,1-9 Kensington Court Retirement Residence,MAYOR,Ernie LAMONT,2
1,9,1-9 Kensington Court Retirement Residence,MAYOR,Franz (Frank) DYCK,1
1,9,1-9 Kensington Court Retirement Residence,MAYOR,Matt MARCHAND,5
1,9,1-9 Kensington Court Retirement Residence,MAYOR,Tom HENSEL,2
1,10,1-10 Huron Lodge,MAYOR,Drew DILKENS,19
1,10,1-10 Huron Lodge,MAYOR,Ernie LAMONT,3
1,10,1-10 Huron Lodge,MAYOR,Franz (Frank) DYCK,1
1,10,1-10 Huron Lodge,MAYOR,Matt MARCHAND,13
1,10,1-10 Huron Lodge,MAYOR,Tom HENSEL,2
1,11,1-11 The Village at St. Clair,MAYOR,Drew DILKENS,21
1,11,1-11 The Village at St. Clair,MAYOR,Ernie LAMONT,0
1,11,1-11 The Village at St. Clair,MAYOR,Franz (Frank) DYCK,3
1,11,1-11 The Village at St. Clair,MAYOR,Matt MARCHAND,6
1,11,1-11 The Village at St. Clair,MAYOR,Tom HENSEL,2
2,1,2-1 Bedford United Church,MAYOR,Drew DILKENS,226
2,1,2-1 Bedford United Church,MAYOR,Ernie LAMONT,20
2,1,2-1 Bedford United Church,MAYOR,Franz (Frank) DYCK,8
2,1,2-1 Bedford United Church,MAYOR,Matt MARCHAND,154
2,1,2-1 Bedford United Church,MAYOR,Tom HENSEL,12
2,2,2-2 Mackenzie Hall Cultural Centre,MAYOR,Drew DILKENS,149
2,2,2-2 Mackenzie Hall Cultural Centre,MAYOR,Ernie LAMONT,18
2,2,2-2 Mackenzie Hall Cultural Centre,MAYOR,Franz (Frank) DYCK,12
2,2,2-2 Mackenzie Hall Cultural Centre,MAYOR,Matt MARCHAND,109
2,2,2-2 Mackenzie Hall Cultural Centre,MAYOR,Tom HENSEL,8
2,3,2-3 Canterbury College,MAYOR,Drew DILKENS,46
2,3,2-3 Canterbury College,MAYOR,Ernie LAMONT,2
2,3,2-3 Canterbury College,MAYOR,Franz (Frank) DYCK,1
2,3,2-3 Canterbury College,MAYOR,Matt MARCHAND,82
2,3,2-3 Canterbury College,MAYOR,Tom HENSEL,0
2,4,2-4 Church of the Ascension,MAYOR,Drew DILKENS,230
2,4,2-4 Church of the Ascension,MAYOR,Ernie LAMONT,11
2,4,2-4 Church of the Ascension,MAYOR,Franz (Frank) DYCK,4
2,4,2-4 Church of the Ascension,MAYOR,Matt MARCHAND,214
2,4,2-4 Church of the Ascension,MAYOR,Tom HENSEL,1
2,5,2-5 Marlborough School (Former Marlborough Community Centre),MAYOR,Drew DILKENS,292
2,5,2-5 Marlborough School (Former Marlborough Community Centre),MAYOR,Ernie LAMONT,21
2,5,2-5 Marlborough School (Former Marlborough Community Centre),MAYOR,Franz (Frank) DYCK,10
2,5,2-5 Marlborough School (Former Marlborough Community Centre),MAYOR,Matt MARCHAND,188
2,5,2-5 Marlborough School (Former Marlborough Community Centre),MAYOR,Tom HENSEL,18
2,6,2-6 Assumption College Catholic High School,MAYOR,Drew DILKENS,211
2,6,2-6 Assumption College Catholic High School,MAYOR,Ernie LAMONT,18
2,6,2-6 Assumption College Catholic High School,MAYOR,Franz (Frank) DYCK,11
2,6,2-6 Assumption College Catholic High School,MAYOR,Matt MARCHAND,139
2,6,2-6 Assumption College Catholic High School,MAYOR,Tom HENSEL,7
2,7,2-7 Campbell Baptist Church,MAYOR,Drew DILKENS,240
2,7,2-7 Campbell Baptist Church,MAYOR,Ernie LAMONT,10
2,7,2-7 Campbell Baptist Church,MAYOR,Franz (Frank) DYCK,20
2,7,2-7 Campbell Baptist Church,MAYOR,Matt MARCHAND,181
2,7,2-7 Campbell Baptist Church,MAYOR,Tom HENSEL,8
2,8,2-8 St. James Catholic School,MAYOR,Drew DILKENS,375
2,8,2-8 St. James Catholic School,MAYOR,Ernie LAMONT,29
2,8,2-8 St. James Catholic School,MAYOR,Franz (Frank) DYCK,11
2,8,2-8 St. James Catholic School,MAYOR,Matt MARCHAND,273
2,8,2-8 St. James Catholic School,MAYOR,Tom HENSEL,7
2,9,2-9 Cardinal Place Rest Home,MAYOR,Drew DILKENS,23
2,9,2-9 Cardinal Place Rest Home,MAYOR,Ernie LAMONT,2
2,9,2-9 Cardinal Place Rest Home,MAYOR,Franz (Frank) DYCK,2
