XCoord,YCoord,FID,ADDRESS,HERITAGE_D,BUILDING_N
-83.00073785,42.30041563,0,2146 Windermere Rd,Heritage Register: Listed,House
-83.00123706,42.30024904,1,2145 Windermere Rd,Heritage Register: Listed,McLaughlin House
-83.02582025,42.30112331,2,107-11-21-25-35-39 Shepeherd St. E,Heritage Register: Listed,Helen Terrace House
-82.96898013,42.32906232,3,281 St. Louis Ave,Heritage Register: Listed,Duplex
-82.96902710,42.32915932,4,279 St. Louis Ave,Heritage Register: Listed,Duplex
-82.97378880,42.30717912,5,1970 Rossini Blvd,Heritage Register: Listed,House
-83.06971675,42.30978638,6,2629 Riverside Dr W.,Heritage Register: Listed,John H. Rodd House
-82.98025601,42.32693785,7,274 Pillette Rd,Heritage Register: Listed,Reaume Summer Kitchen House
-82.98025601,42.32693785,8,270 Pillette Rd,Heritage Register: Listed,Joseph Reaume House
-82.98098055,42.32679103,9,271 Pillette Rd,Heritage Register: Listed,Cleve Apartments
-83.01688938,42.31466977,10,1015-17 Pierre Ave/1187-97 Erie St E.,Heritage Register: Listed,Apartments
-83.01717195,42.31512755,11,983-97 Pierre Ave,Heritage Register: Listed,Keith and Lillian Apartments
-83.06953005,42.30949290,12,189 Patricia Rd,Heritage Register: Listed,Milligan House
-83.06902210,42.30980221,13,172 Patricia Rd,Heritage Register: Listed,Clyde W. Curry House
-83.01997665,42.31331833,14,1028 Parent Ave,Heritage Register: Listed,Gilbert-Abrash House
-83.02443347,42.31996138,15,476 Parent Ave,Heritage Register: Listed,Francois Apartments
-83.04012229,42.31864386,16,185 Ouellette Ave Pitt St W,Heritage Register: Designated,Federal Bldg./Dominion Public Bldg. addition
-83.00395715,42.29964530,17,2142 Moy Ave,Heritage Register: Listed,Gordon & Marjorie Preston House
-83.00461037,42.29966006,18,2131 Moy Ave,Heritage Register: Listed,Ludwig Treisz House
-83.00171648,42.30020483,19,2144 Lincoln Rd,Heritage Register: Listed,House
-83.00235224,42.29997970,20,2143 Lincoln Rd,Heritage Register: Listed,Ouellette-Horen House
-83.01724150,42.32318607,21,395-97 Lincoln Rd,Heritage Register: Listed,Crouchman House
-83.06097784,42.29503927,22,1100 Huron Church Rd,Heritage Register: Listed,Chapel, Assumption College High School
-83.02514822,42.31129422,23,1034-36-38-40 Howard Ave,Heritage Register: Listed,Four-unit Terrace
-83.00508803,42.29949876,24,2136 Hall Ave,Heritage Register: Listed,Silverstein House
-83.01318399,42.31084863,25,1247-51 Hall Ave,Heritage Register: Listed,Duplex
-83.03603267,42.30392548,26,430 Giles Blvd W,Heritage Register: Listed,Parkside Apartments
-83.03578151,42.30401348,27,410 Giles Blvd W,Heritage Register: Listed,Parkview Apartments
-82.96677652,42.32982461,28,269 Esdras Pl,Heritage Register: Listed,Ashmore House
-82.96540402,42.32797279,29,866 Esdras Ave,Heritage Register: Listed,Reid-Turner House
-82.96615540,42.32783010,30,861 Esdras Ave,Heritage Register: Listed,Lusby House
-83.01835604,42.31464728,31,1090 Erie St E,Heritage Register: Listed,Apartments
-83.01961384,42.31423592,32,990 Erie St E,Heritage Register: Listed,Killarney Apartments
-83.01978753,42.31417586,33,972 Erie St E,Heritage Register: Listed,Inverness Apartments
-82.97771034,42.32618301,34,824 Dawson Rd,Heritage Register: Listed,House
-82.98769860,42.30426191,35,1882 Cadillac St,Heritage Register: Listed,House
-83.03182013,42.29649146,36,1590-92 Bruce Ave,Heritage Register: Listed,Duplex
-83.03259597,42.29647566,37,1583-85-87 Bruce Ave,Heritage Register: Listed,Triplex
-83.01315425,42.32361880,38,1800-1900 Blocks Brant St,Heritage Register: Listed,Stone Curbs
-83.01320649,42.32369495,39,1800-1900 Blocks Brant St,Heritage Register: Listed,Stone Curbs
-83.01407645,42.32329017,40,1800-1900 Blocks Brant St,Heritage Register: Listed,Stone Curbs
-83.01412161,42.32336749,41,1800-1900 Blocks Brant St,Heritage Register: Listed,Stone Curbs
-83.05980398,42.31175525,42,1766 University Ave W.,Heritage Register: Listed,London Apartments
-83.05491639,42.31325778,43,1314 University Ave W.,Heritage Register: Listed,Francis Apartments
-83.06450344,42.31079846,44,235 Randolph Pl,Heritage Register: Listed,Denomy House
-83.02007975,42.31953246,45,643 Pierre Ave,Heritage Register: Listed,Charron-Nord House
-83.03462807,42.30846869,46,1007 Pelissier St/129 Erie St W.,Heritage Register: Listed,Erie Apartments
-83.05897779,42.30581042,47,629-37 Partington Ave,Heritage Register: Listed,Duplex
-83.05961172,42.30666787,48,559 Partington Ave,Heritage Register: Listed,Apartments
-83.05904089,42.30688353,49,558 Partington Ave,Heritage Register: Listed,Sharron Apartments
-83.05966803,42.30677771,50,547 Partington Ave,Heritage Register: Listed,Apartments
-83.05910128,42.30698352,51,546 Partington Ave,Heritage Register: Listed,Sharron Earl Apartments
-83.01703220,42.30752779,52,1331 Parent Ave,Heritage Register: Listed,Tubaro House
-83.02434552,42.31904861,53,561 Parent Ave,Heritage Register: Listed,Lee-Ann Apartments
-83.01821811,42.30807117,54,854 Ottawa St/ 1286 Elsmere Ave,Heritage Register: Listed,Elsmere Apartments
-83.02531228,42.31728412,55,669-77 Marentette Ave,Heritage Register: Listed,Christian Brothers Academy
